date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:26	19815/19815	---M--	200	added ('OK')	text/html	etag:%220x8DC3DA4F89C38E1%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/index44a7.html	(from )
10:28:26	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Wed,%2006%20Mar%202024%2009:28:25%20GMT	https://ger1-secondary.z32.web.core.windows.net/robots.txt		(from )
10:28:27	1045/1045	---M--	200	added ('OK')	image/png	etag:%220x8DC3DA4FA80DAC4%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/images/windows_11_logo_by_rejaneappel_dfpbq6p-fullview.png	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/images/windows_11_logo_by_rejaneappel_dfpbq6p-fullview.png	(from https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792)
10:28:28	33265/33265	---M--	200	added ('OK')	text/css	etag:%220x8DC3DA4F9AB8338%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/css/pstyle.css	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/css/pstyle.css	(from https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792)
10:28:29	113635/113635	---M--	200	added ('OK')	image/png	etag:%220x8DC3DA4FA0750BA%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/images/website2.png	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/images/website2.png	(from https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792)
10:28:30	12443/12443	---M--	200	added ('OK')	image/png	etag:%220x8DC3DA4FA1BE6F7%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/images/Pop.png	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/images/Pop.png	(from https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792)
10:28:31	168/168	---M--	200	added ('OK')	image/png	etag:%220x8DC3DA4F8E93B95%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/msmm.png	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/msmm.png	(from https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792)
10:28:32	332/332	---M--	200	added ('OK')	image/png	etag:%220x8DC3DA4F8F82D64%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/dm.png	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/dm.png	(from https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792)
10:28:33	2681/2681	---M--	200	added ('OK')	image/png	etag:%220x8DC3DA4F899A139%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/cs.png	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/cs.png	(from https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792)
10:28:34	14751/14751	---M--	200	added ('OK')	image/gif	etag:%220x8DC3DA4F948B1FD%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/re.gif	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/re.gif	(from https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792)
10:28:35	1045/1045	---M--	200	added ('OK')	image/png	etag:%220x8DC3DA4FA166991%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/images/wall.png	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/images/wall.png	(from https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792)
10:28:36	8951/8951	---M--	200	added ('OK')	text/javascript	etag:%220x8DC3DA4FA6540B6%22	https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/js/pscript.js	C:/ProjektX/Scam/ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/js/pscript.js	(from https://ger1-secondary.z32.web.core.windows.net/werrx01USAHTML/?bcda=030-2204-6792)
